TT	Tên trường hợp sử dụng	Tác nhân chính	Tác nhân phụ	Mức độ cần thiết	Độ phức tạp	Giao dịch (Transaction)
						Quản trị viên có thể Lọc lịch sử chăm sóc theo ngày, hệ thống truy vấn CSDL theo ngày rồi trả về kết quả cho người dùng.
						Quản trị viên có thể nhập file Excel công việc hướng dẫn người dân cách chăm sóc, hệ thống thu thấp file, phân tích dữ liệu và lưu vào CSDL.
32	Quản lý thông tin hệ thống	Quản trị viên		B	Trung bình	Quản trị viên truy cập vào mục “Cài đặt”, hệ thống truy vấn CSDL.
						Hệ thống hiển thị giao diện và dữ liệu thông tin cài đặt của hệ thống.
						Quản trị viên cập nhật thông tin hệ thống (Tên hệ thống, favicon,...) và nhấn Lưu, hệ thống kiểm tra tính hợp lệ của thông tin.
						Nếu thành công, hệ thống lưu thông tin vào CSDL.
						Nếu thất bại, hệ thống hiển thị lỗi và yêu cầu nhập lại thông tin.
33	Cấu hình hệ thống quan trắc	Quản trị viên		B	Trung bình	Nhà quản lý chọn mục “Cấu hình hệ thống quan trắc”, hệ thống truy vấn CSDL.
						Hệ thống hiển thị thông tin và dữ liệu truy vấn của tất cả các trạm. 
						Nhà quản lý cấu hình khoảng thời gian các trạm IoT gửi dữ liệu cho server, hệ thống kiểm tra và lưu cấu hình vào CSDL.
